Time_msec,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Prs,KeySignal,PPS_Year,PPS_Month,PPS_Day,PPS_Hour,PPS_Minute,PPS_Sec,GPS_FixStatus,GPS_Latitude,GPS_Longitude,GPS_Altitude
0.0,-4.517113435720163,8.530698261450802,-0.2823175606270502,0.17931180467517482,-0.4111761502431213,-0.07666831425016589,-27.38400108814231,15.42360061287875,0.379200015068053,1014.6708984375,,,,,,,,,,,
5.0,-4.493116219865244,8.551125266229167,-0.23666268752550101,0.1665368603700441,-0.4041055502271888,-0.03932252335316825,-27.324001085758123,15.399600611925077,0.4512000179290757,1014.670224609375,,,,,,,,,,,
10.0,-4.376919495058227,8.568250916405884,-0.19433757650219444,0.15993998200799586,-0.3833032383887012,-0.005611879209692249,-27.264001083373937,15.375600610971404,0.5232000207900984,1014.66955078125,,,,,,,,,,,
15.0,-4.297301454580061,8.692574208625077,-0.16948915090212222,0.14828471988422107,-0.3494074050803391,0.017567070078771528,-27.20400108098975,15.351600610017728,0.5952000236511212,1014.668876953125,,,,,,,,,,,
20.0,-4.295475259655996,8.890411992065019,-0.18460598666240283,0.13705940742990733,-0.32434600145598697,0.04086205397680937,-27.144001078605566,15.327600609064055,0.6672000265121438,1014.668203125,,,,,,,,,,,
25.0,-4.381133947121842,8.99757108110347,-0.22295405096222137,0.12317643620554493,-0.3164281933865719,0.0724460012914561,-27.08400107622138,15.30360060811038,0.7392000293731666,1014.667529296875,,,,,,,,,,,
30.0,-4.513616272440598,8.977870496083796,-0.19078055461120008,0.10490409326537466,-0.3198874751849074,0.0829129446902461,-27.024001073837194,15.279600607156706,0.8112000322341892,1014.66685546875,,,,,,,,,,,
35.0,-4.6428895674566695,8.960051906388639,-0.14774424212023207,0.10106562693928094,-0.32960718677865536,0.04788188885104719,-26.96400107145301,15.255600606203032,0.883200035095212,1014.666181640625,,,,,,,,,,,
40.0,-4.706928136127092,8.989693079111637,-0.11895529369513495,0.1238705718164803,-0.32752270789927335,-0.010999459374950962,-26.904001069068823,15.231600605249357,0.9552000379562346,1014.6655078125,,,,,,,,,,,
45.0,-4.671849975294108,9.042779551001331,-0.055368200992097834,0.15435555741574436,-0.306607987532744,-0.06649145737531072,-26.844001066684637,15.207600604295683,1.0272000408172575,1014.664833984375,,,,,,,,,,,
50.0,-4.6196008174772585,9.08170154408346,-0.03552905250746814,0.17241114367536256,-0.2867931984508487,-0.108305525925984,-26.78400106430045,15.183600603342008,1.0992000436782803,1014.66416015625,,,,,,,,,,,
55.0,-4.66400139533156,9.04838596941821,-0.11588018435357458,0.1815889838883313,-0.2661836534001249,-0.14209033657417702,-26.724001061916265,15.159600602388334,1.1712000465393029,1014.663486328125,,,,,,,,,,,
60.0,-4.704253775116066,8.927781012975036,-0.1308194733851286,0.2015583329937174,-0.23298558178426398,-0.1785324561478197,-26.736001062393104,15.13560060143466,1.2072000479698144,1014.6628125,,,,,,,,,,,
65.0,-4.734690357183768,8.842047248606718,-0.13775089767467713,0.23903751189057834,-0.20217424884549917,-0.22371757634927247,-26.79600106477729,15.111600600480985,1.2192000484466514,1014.662138671875,,,,,,,,,,,
