Time_msec,predict
50.0,1
55.0,1
60.0,1
65.0,1
70.0,1
75.0,1
80.0,1
85.0,1
90.0,1
95.0,1
100.0,0
105.0,1
110.0,1
115.0,1
120.0,1
125.0,1
130.0,1
135.0,0
140.0,1
145.0,1
150.0,1
155.0,1
160.0,0
165.0,1
170.0,0
175.0,1
180.0,1
185.0,1
190.0,1
195.0,0
200.0,0
205.0,0
210.0,0
215.0,1
220.0,1
225.0,0
230.0,1
235.0,1
240.0,0
245.0,1
250.0,1
255.0,0
260.0,1
265.0,1
270.0,1
275.0,1
280.0,1
285.0,0
290.0,0
295.0,1
300.0,1
305.0,1
310.0,1
315.0,0
320.0,1
325.0,0
330.0,1
335.0,1
340.0,0
345.0,0
350.0,0
355.0,0
360.0,1
365.0,0
370.0,0
375.0,1
380.0,1
385.0,1
390.0,1
395.0,1
400.0,1
405.0,1
410.0,1
415.0,0
420.0,0
425.0,1
430.0,1
435.0,1
440.0,0
445.0,0
450.0,0
455.0,1
460.0,0
465.0,1
470.0,0
475.0,0
480.0,0
485.0,0
490.0,1
495.0,1
500.0,1
505.0,1
510.0,1
515.0,1
520.0,1
525.0,1
530.0,1
535.0,1
540.0,1
545.0,0
550.0,0
555.0,1
560.0,1
565.0,1
570.0,1
575.0,0
580.0,0
585.0,1
590.0,0
595.0,0
600.0,1
605.0,0
610.0,0
615.0,0
620.0,0
625.0,1
630.0,1
635.0,1
640.0,1
645.0,1
650.0,1
655.0,1
660.0,1
665.0,1
670.0,1
675.0,1
680.0,1
685.0,1
690.0,1
695.0,1
700.0,1
705.0,1
710.0,1
715.0,1
720.0,1
725.0,1
730.0,1
735.0,1
740.0,1
745.0,1
750.0,1
755.0,1
760.0,1
765.0,1
770.0,1
775.0,1
780.0,1
785.0,1
790.0,1
795.0,1
800.0,1
805.0,1
810.0,1
815.0,1
820.0,1
825.0,1
830.0,1
835.0,1
840.0,0
845.0,1
850.0,1
855.0,1
860.0,1
865.0,1
870.0,1
875.0,1
880.0,0
885.0,1
